mu.R,mu.py,k.R,k.py,mean.n_try,var.n_try,p.20,graph.type,prob_epi,n,graph.var,corr.var,b.var,t.var.ratio,mean.var.ratio
NA,3.5551470588235294,NA,1.010848152906792,3.13,7.205771476230192,0.5787487073422958,Negative Binomial,0.271,150,48,1,11,0.07032651,6
NA,2.115569823434992,NA,1.299232402393243,181.42333333333335,91843.74724492633,0.5647761760242792,Negative Binomial,0,151,48,0,13,0.06202945,6
NA,3.1056451612903224,NA,1.098424313513815,3.48,9.757731442869058,0.5747208517268242,Negative Binomial,0.282,152,48,1,13,0.06202945,6
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,153,48,0,15,0.0549127,6
NA,2.9526530612244897,NA,1.2597744350739561,4.336666666666667,16.34360856269113,0.5615841857893282,Negative Binomial,0.259,154,48,1,15,0.0549127,6
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,155,48,0,17,0.04972932,6
NA,2.8196856906534324,NA,1.0754158150512731,4.89,17.839432860717263,0.5792021120563215,Negative Binomial,0.208,156,48,1,17,0.04972932,6
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,157,48,0,19,0.04521718,6
NA,2.699122106943336,NA,1.0895361996055761,5.6,23.686405337781483,0.5740685984624483,Negative Binomial,0.183,158,48,1,19,0.04521718,6
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,159,48,0,21,0.0414949,6
NA,2.4896013864818025,NA,1.334968099420021,6.346666666666667,30.832182374200723,0.5500348068221371,Negative Binomial,0.175,160,48,1,21,0.0414949,6
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,161,48,0,23,0.03825944,6
NA,2.5562444641275466,NA,1.357232672684281,8.446666666666667,66.84285793716987,0.5531878031878031,Negative Binomial,0.115,162,48,1,23,0.03825944,6
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,163,48,0,25,0.0357363,6
NA,2.483842794759825,NA,1.2693374078683572,9.79,83.38205170975813,0.5547644163150492,Negative Binomial,0.114,164,48,1,25,0.0357363,6
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,165,48,0,27,0.03324964,6
NA,2.3057216054654144,NA,1.247041178358513,12.316666666666666,130.29163191548514,0.5698148148148148,Negative Binomial,0.08,166,48,1,27,0.03324964,6
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,167,48,0,29,0.03111772,6
NA,2.4123711340206184,NA,1.1210738665027622,15.303333333333333,218.17980539338336,0.5803062678062678,Negative Binomial,0.052,168,48,1,29,0.03111772,6
NA,3.7636499626028423,NA,1.0501396602282993,1.9333333333333333,1.98387545176536,0.5791434817170111,Negative Binomial,0.557,169,56,0,3,0.15044462,7
NA,8.144114921223355,NA,0.9481353843711318,1.7933333333333332,1.605293299972199,0.5632005689900427,Negative Binomial,0.531,170,56,1,3,0.15044462,7
NA,2.795069337442219,NA,1.0698841031070243,2.52,3.7393828190158467,0.579244762954796,Negative Binomial,0.346,171,56,0,5,0.11912856,7
NA,6.089867310012063,NA,0.9029997465498164,2.006666666666667,1.7747678621073117,0.5790581360800238,Negative Binomial,0.506,172,56,1,5,0.11912856,7
NA,2.5632458233890216,NA,1.2286555606754301,4.08,11.66999165971643,0.5630043451272502,Negative Binomial,0.247,173,56,0,7,0.0975731,7
NA,5.215686274509804,NA,0.9028674223825569,2.5366666666666666,3.258037253266611,0.5941062333252486,Negative Binomial,0.475,174,56,1,7,0.0975731,7
NA,2.148014440433213,NA,1.531039431218844,6.516666666666667,29.90130664442591,0.5477941176470589,Negative Binomial,0.146,175,56,0,9,0.08201116,7
NA,4.36987270155587,NA,0.8818731756373804,2.9966666666666666,5.634684459271615,0.5924906942871014,Negative Binomial,0.36,176,56,1,9,0.08201116,7
NA,2.1698455949137148,NA,1.3004228941984732,12.136666666666667,144.31825410063942,0.5695897865215571,Negative Binomial,0.06,177,56,0,11,0.07032651,7
NA,3.9255685733976566,NA,0.9261131921081562,3.183333333333333,6.855435084792883,0.5934427668539326,Negative Binomial,0.295,178,56,1,11,0.07032651,7
NA,2.2495575221238937,NA,1.43008527574577,52.803333333333335,3469.462541006394,0.5516325727773407,Negative Binomial,0,179,56,0,13,0.06202945,7
NA,3.4070434070434072,NA,1.0514934358539747,3.8033333333333332,10.53343341673617,0.5790264423076923,Negative Binomial,0.294,180,56,1,13,0.06202945,7
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,181,56,0,15,0.0549127,7
NA,3.1907335907335908,NA,1.0743701557565557,4.826666666666667,17.517887128162357,0.5762342691190707,Negative Binomial,0.197,182,56,1,15,0.0549127,7
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,183,56,0,17,0.04972932,7
NA,2.9786286731967944,NA,1.099159599310012,4.81,21.925504587155963,0.587219730941704,Negative Binomial,0.189,184,56,1,17,0.04972932,7
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,185,56,0,19,0.04521718,7
