mu.py,k.py,mean.n_try,var.n_try,p.20,graph.type,prob_epi,graph.var,t.var,graph.var.ratio,t.var.ratio
4.4750065427898456,0.9860990117678509,6.749,38.7006996996997,0.5755307327913913,Negative Binomial,0.122,694,250,86.75,1
4.673169428113308,0.9288974013064534,7.357,40.58013113113113,0.5943272145022016,Negative Binomial,0.161,694,6437,86.75,25.748
4.662202787646898,0.8969840637315872,7.541,44.59491391391391,0.6100005862008324,Negative Binomial,0.132,694,12625,86.75,50.5
4.405541561712846,0.8297348884595693,7.679,56.542501501501505,0.6185820468839337,Negative Binomial,0.115,694,18812,86.75,75.248
4.482741974414675,0.7243476755022057,8.08,56.74434434434434,0.6416648718500969,Negative Binomial,0.124,694,25000,86.75,100
4.472176759410802,1.026095899962932,7.428,51.17599199199199,0.5757243061909119,Negative Binomial,0.165,720,250,90,1
4.5256172020175205,0.9395624807919765,7.559,49.484003003003004,0.5945565462224308,Negative Binomial,0.14,720,6437,90,25.748
4.495937237321378,0.9412076314759243,7.516,53.581325325325324,0.601894553159666,Negative Binomial,0.13,720,12625,90,50.5
4.500125156445557,0.8237121043058903,7.937,55.58861961961962,0.616865057292246,Negative Binomial,0.125,720,18812,90,75.248
4.584905660377358,0.8069353608403266,8.377,64.08495595595596,0.6205535825018321,Negative Binomial,0.128,720,25000,90,100
4.819830028328612,0.9222461442918555,7.177,45.7314024024024,0.6025625955095804,Negative Binomial,0.149,747,250,93.375,1
4.737313432835821,0.9131257227645726,7.939,54.18946846846847,0.6017643352236925,Negative Binomial,0.137,747,6437,93.375,25.748
4.875929248910536,0.853702646096242,7.532,47.24622222222222,0.6088007991167657,Negative Binomial,0.126,747,12625,93.375,50.5
4.839681354244461,0.7916193490081848,8.013,58.24307407407407,0.6200298338562831,Negative Binomial,0.118,747,18812,93.375,75.248
4.867437284800787,0.7613825246304105,8.12,56.06766766766767,0.6391794249911577,Negative Binomial,0.117,747,25000,93.375,100
4.724401426388181,1.0138475166582037,7.378,47.692808808808806,0.5645891740349364,Negative Binomial,0.153,773,250,96.625,1
4.816101026045778,0.9278908654974802,7.434,45.2548988988989,0.5876215448486835,Negative Binomial,0.144,773,6437,96.625,25.748
4.757725587144623,0.8047006012439873,7.845,55.15012512512512,0.6186022343465836,Negative Binomial,0.123,773,12625,96.625,50.5
4.774334016393443,0.7755977297841141,7.672,48.07048648648649,0.6279306829765545,Negative Binomial,0.122,773,18812,96.625,75.248
4.972633136094674,0.7554243433676193,8.297,56.813604604604606,0.6330011403639249,Negative Binomial,0.126,773,25000,96.625,100
4.780138077535847,0.9473954370699925,7.053,49.465656656656655,0.5813798466837018,Negative Binomial,0.143,800,250,100,1
4.862962962962963,0.8685765186815935,8.028,52.277493493493495,0.5967794581655967,Negative Binomial,0.124,800,6437,100,25.748
4.915896937287312,0.7926410512288126,8.38,68.25585585585586,0.6212915348101266,Negative Binomial,0.121,800,12625,100,50.5
4.876923076923077,0.8071195315846765,8.059,63.95347247247247,0.6197962455396391,Negative Binomial,0.13,800,18812,100,75.248
4.966110019646365,0.6909180188692543,7.646,46.84352752752753,0.6557709425378301,Negative Binomial,0.114,800,25000,100,100
4.766315789473684,0.9917557419764467,7.099,39.6007997997998,0.5732111307420494,Negative Binomial,0.131,800,250,100,1
4.863170731707317,0.8358701716014739,8.072,60.82363963963964,0.6095591554240434,Negative Binomial,0.119,800,12625,100,50.5
4.955087719298246,0.7201336062750502,8.588,65.8441001001001,0.6380116130859652,Negative Binomial,0.115,800,25000,100,100
5.601962661560555,0.858763283994124,7.138,47.35431031031031,0.5911557359538561,Negative Binomial,0.13,977,250,122.125,1
5.530211113807328,0.7726959378485192,7.752,50.88337937937938,0.6147871873628784,Negative Binomial,0.107,977,12625,122.125,50.5
5.7451841014386735,0.698093810999438,8.187,60.16019119119119,0.6433937438988159,Negative Binomial,0.132,977,25000,122.125,100
6.644987146529563,0.827958609846619,7.629,47.596955955955956,0.5909706371619792,Negative Binomial,0.117,1155,250,144.375,1
6.554755043227666,0.7078574381410765,8.287,67.27590690690691,0.6337656627830293,Negative Binomial,0.139,1155,12625,144.375,50.5
6.925792507204611,0.6073631034700221,8.567,62.35186286286286,0.6699608169492701,Negative Binomial,0.12,1155,25000,144.375,100
7.546951819075713,0.6948099187968562,8.307,59.30805905905906,0.624507345037621,Negative Binomial,0.125,1333,250,166.625,1
7.299913194444445,0.6209158070165932,8.147,60.652043043043044,0.64855223259409,Negative Binomial,0.142,1333,12625,166.625,50.5
7.155813453685794,0.5697531495722816,9.129,67.89425325325325,0.678429841422393,Negative Binomial,0.122,1333,25000,166.625,100
8.145756908779653,0.694584777339823,7.903,57.981572572572574,0.6234538249069292,Negative Binomial,0.134,1511,250,188.875,1
8.413851761846901,0.6141185059606356,8.711,71.514993993994,0.6633451751725732,Negative Binomial,0.133,1511,12625,188.875,50.5
8.025155832591274,0.5409764096322421,8.694,68.641005005005,0.686926128325335,Negative Binomial,0.117,1511,25000,188.875,100
8.107412653446648,0.7701170851495907,8.407,61.24259359359359,0.5778470139475294,Negative Binomial,0.123,1688,250,211,1
